30
1,10,W
1,11,W
1,12,SW
1,13,M
1,14,M
1,15,M
1,16,M
1,17,M
1,18,M
1,19,M
1,20,TR
1,21,M
1,22,M
1,23,M
1,24,G
1,25,G
1,26,M
1,27,G
1,28,M
1,29,M
1,30,M
1,4,PH
1,8,W
1,9,W
10,11,W
10,12,W
10,13,W
10,19,PH
10,20,PH
10,21,PH
10,23,F
10,24,F
10,25,F
10,26,F
10,27,F
10,29,TR
10,3,F
10,4,F
10,5,F
10,8,PH
11,12,W
11,13,W
11,14,W
11,20,PH
11,22,F
11,23,F
11,24,F
11,25,F
11,26,F
11,27,F
11,28,F
11,8,PH
12,13,W
12,14,W
12,16,TR
12,20,PH
12,22,F
12,23,F
12,24,F
12,25,FR
12,26,F
12,27,F
12,28,F
12,3,TR
12,8,PH
13,12,W
13,13,W
13,20,PH
13,22,F
13,23,F
13,24,F
13,25,F
13,26,F
13,27,F
13,28,F
13,29,PH
13,30,CS
13,6,ST
13,7,PH
13,8,PH
14,1,F
14,11,W
14,12,W
14,19,PH
14,2,F
14,20,PH
14,21,PH
14,22,PH
14,23,F
14,24,F
14,25,F
14,26,F
14,27,F
14,29,PH
14,8,PH
15,1,F
15,11,W
15,12,W
15,13,W
15,14,W
15,19,PH
15,2,F
15,20,ST
15,21,PH
15,24,F
15,25,F
15,26,F
15,28,PH
15,29,PH
15,3,F
15,8,PH
15,9,PH
16,1,F
16,12,W
16,13,W
16,14,W
16,18,PH
16,19,PH
16,2,F
16,21,PH
16,22,PH
16,27,PH
16,28,PH
16,3,F
16,4,F
16,8,TR
16,9,PH
17,1,FR
17,13,W
17,14,W
17,16,PH
17,17,PH
17,18,PH
17,2,F
17,22,PH
17,23,PH
17,24,PH
17,26,PH
17,27,PH
17,3,F
17,4,F
17,9,PH
18,1,F
18,14,W
18,15,W
18,16,P
18,2,F
18,24,PH
18,25,PH
18,27,F
18,28,F
18,29,F
18,3,F
18,4,F
18,9,PH
19,1,F
19,10,PH
19,15,W
19,16,W
19,2,F
19,25,PH
19,26,F
19,27,F
19,28,F
19,29,F
19,3,F
19,30,F
19,9,PH
2,10,W
2,11,W
2,12,SW
2,13,SW
2,14,CH
2,15,M
2,16,M
2,17,M
2,18,M
2,19,M
2,20,M
2,21,TR
2,22,M
2,23,M
2,24,G
2,25,G
2,26,M
2,27,G
2,28,M
2,29,M
2,30,M
2,4,PH
2,5,PH
2,9,W
20,1,F
20,10,PH
20,11,PH
20,16,W
20,17,W
20,19,W
20,2,F
20,20,W
20,21,W
20,22,TR
20,25,F
20,26,F
20,27,F
20,28,F
20,29,F
20,30,F
21,11,PH
21,17,W
21,18,W
21,19,W
21,20,W
21,21,W
21,22,W
21,25,F
21,26,F
21,27,F
21,28,CH
21,29,F
21,3,TR
21,30,F
22,11,PH
22,18,W
22,19,WH
22,20,W
22,21,W
22,22,W
22,23,W
22,24,P
22,25,F
22,26,F
22,27,F
22,28,F
22,29,F
22,30,F
23,10,PH
23,11,PH
23,17,W
23,18,W
23,19,W
23,20,W
23,21,W
23,22,W
23,23,W
23,24,W
23,26,F
23,27,F
23,28,F
23,29,F
23,30,F
23,8,TR
24,10,PH
24,13,TR
24,16,W
24,17,W
24,18,W
24,19,CH
24,20,MR
24,21,W
24,22,W
24,23,W
24,24,W
24,27,F
24,28,F
24,29,F
24,9,PH
25,15,W
25,16,W
25,17,W
25,18,W
25,19,W
25,20,W
25,21,W
25,22,W
25,23,W
25,24,W
25,29,TR
25,3,M
25,4,M
25,8,PH
25,9,PH
26,15,W
26,16,W
26,17,W
26,18,W
26,19,W
26,2,M
26,20,W
26,21,W
26,22,W
26,23,W
26,24,W
26,28,SW
26,29,SW
26,3,M
26,30,SW
26,4,M
26,5,M
26,7,PH
26,8,PH
27,1,M
27,15,W
27,16,W
27,17,W
27,18,W
27,19,W
27,2,M
27,20,W
27,21,WH
27,22,W
27,23,W
27,24,SW
27,25,SW
27,26,SW
27,27,SW
27,28,SW
27,29,SW
27,3,MS
27,30,SW
27,4,M
27,5,M
27,6,PH
27,7,PH
28,1,M
28,16,W
28,17,W
28,18,W
28,19,W
28,2,M
28,20,W
28,21,W
28,22,W
28,23,W
28,24,SW
28,25,SW
28,26,SW
28,27,SW
28,28,CH
28,29,SW
28,3,M
28,30,SW
28,4,M
28,5,PH
28,6,PH
28,7,M
29,1,M
29,18,P
29,19,W
29,2,ST
29,20,W
29,21,W
29,22,W
29,23,SW
29,24,SW
29,25,CH
29,26,SW
29,27,SW
29,28,SW
29,29,SW
29,3,PH
29,30,SW
29,4,PH
29,5,PH
29,6,M
29,7,M
29,8,M
3,10,W
3,11,W
3,12,SW
3,13,SW
3,14,SW
3,15,SW
3,16,SW
3,17,M
3,18,M
3,19,M
3,20,M
